platform,appId,title,store_url,developer,genres,contentRating,price,free,score,reviews,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
ios,ai.socialapps.speakmaster,PolyBuzz: Chat with Characters,https://apps.apple.com/us/app/polybuzz-chat-with-characters/id6449190344?uo=4,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,"Entertainment, Social Networking",17+,0,True,4.42823,393989,companion,True,https://www.polybuzz.ai,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice chat, image generation, coin system",$9.99/month,"en, zh, ja, ko, es, fr, de, pt"
ios,app.aiboy,FriendX - Virtual AI Boyfriend,https://apps.apple.com/us/app/friendx-virtual-ai-boyfriend/id6741568820?uo=4,Tequilab LP,"Entertainment, Lifestyle",17+,0,True,4.71133,724,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, fr, de, pt, es"
ios,com.tara.ai,Talkie Lab - AI Playground,https://apps.apple.com/us/app/talkie-lab-ai-playground/id6740326134?uo=4,SUBSUP PTE. LTD.,Entertainment,17+,0,True,4.74786,41382,companion,True,https://www.talkie-ai.com,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice calls, exclusive characters, creator program",$9.99/month,"en, zh, ja, ko, es, fr, de, pt, ru"
ios,cc.aifriends.soultalk,SoulTalk: AI Friends Chat,https://apps.apple.com/us/app/soultalk-ai-friends-chat/id6504914846?uo=4,SINGULARITY MUTUAL ENTERTAINMENT CULTURE MEDIA LIMITED,"Social Networking, Entertainment",17+,0,True,4.52559,25265,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, pt, es"
ios,com.apperry.aibf,AI Boyfriend Chat: iBoy,https://apps.apple.com/us/app/ai-boyfriend-chat-iboy/id1565524138?uo=4,LABANE CORP. LTD,"Entertainment, Health & Fitness",17+,0,True,4.49969,4809,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,ai.character.app,"Character AI: Chat, Talk, Text",https://apps.apple.com/us/app/character-ai-chat-talk-text/id1671705818?uo=4,Character.AI,"Entertainment, Utilities",17+,0,True,4.42985,517535,companion,True,https://character.ai,True,"email/password, Google, Apple",True,face-based age verification (mandatory April 2026),False,False,"c.ai+: faster response speed, priority access",$9.99/month,"en, es, pt, fr, de, ja, ko, zh, it, ru, ar, hi"
ios,com.wizarddynamics.aiboyfriend,AI Boyfriend: Roleplay Chat,https://apps.apple.com/us/app/ai-boyfriend-roleplay-chat/id6756181306?uo=4,Manuel Worlitzer,Entertainment,17+,0,True,3.96875,32,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.onyxtech.spicybf,Virtual AI Boyfriend: SpicyBF,https://apps.apple.com/us/app/virtual-ai-boyfriend-spicybf/id6756841206?uo=4,Onyx Tech Inc,"Entertainment, Simulation, Roleplaying, Games",17+,0,True,4.72,25,companion,False,,True,email/password,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.aivirtualboyfriend.aivirtualboyfriend,Ai Boyfriend Chat,https://apps.apple.com/us/app/ai-boyfriend-chat/id6467125779?uo=4,Alexis Tuil,"Entertainment, Games, Roleplaying",17+,0,True,4.33965,739,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.beauchamp.Messenger.external,CHAI: Social AI Platform- Chat,https://apps.apple.com/us/app/chai-social-ai-platform-chat/id1544750895?uo=4,Chai Research Corp.,"Entertainment, Social Networking",17+,0,True,4.4428,229579,companion,False,,True,"email/password, Google, Apple",True,device settings age confirmation,True,False,"Chai Premium: unlimited messages, better models, no ads; Chai Ultra: $29.99/month",$13.99/month,en
